job_id	path	bc_1	bc_2	sample
17100	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	A_3094_1_50089
17100	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	A_3115_1_50099
17100	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	A_3116_1_50109
17100	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	A_3117_1_50249
17101	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	A_3095_1_50260
17101	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	E_3116_1_50113
17101	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	C_3116_1_50111
17102	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	G_3094_1_50093
17102	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	C_3094_1_50091
17102	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	I_3116_1_50117
17102	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	K_3116_1_50119
17103	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	F_3095_1_50264
17104	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	I_3094_1_50095
17104	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	B_3115_1_50100
17104	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	J_3118_1_50128
17104	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	G_3120_1_50147
17105	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	K_3094_1_50097
17105	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	7	8	D_3094_1_50092
17105	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	D_3115_1_50102
17105	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	3	4	B_3118_1_50122
17106	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	1	2	K_3118_1_50129
17106	/data/shared/homes/archana/projects/ccs_and_db_paper/nasal_ccs2_v1/bam_files	5	6	I_3118_1_50127
